Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","GDP, PPP (current international $) [NY.GDP.MKTP.PP.CD]",GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP (current LCU) [NY.GDP.MKTP.CN],GDP per capita (constant LCU) [NY.GDP.PCAP.KN],General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS]
2010,YR2010,China,CHN,6192564874453.29,4629.24551710077,1337705000,10.0634243207535,9411.13821903204,12589326651290.3,10.5962719761682,41925330000000,39984.4902642959,14.837784222569,1.73351986212832
2010,YR2010,India,IND,1675615519484.96,1347.51939071367,1243481564,6.93079780415253,4206.45986002117,5230655285642.35,8.49758470221235,76344721043800,66758.0049803617,11.0076078674499,2.88946327164641
2010,YR2010,Indonesia,IDN,755094157621.936,3065.68348377765,246305322,4.89326246908787,8353.45684733249,2057500878595.33,6.22385418062366,6.8641331E+15,27868391.3293599,9.00591499311107,0.617587091951932
2010,YR2010,"Korea, Rep.",KOR,1143672241149.72,23079.2601257735,49554112,6.27401988865388,31736.6284370925,1572680440074.07,6.80482491783671,1.3226112E+15,28789094.2329872,14.2048320776355,2.46271920274076
2010,YR2010,Saudi Arabia,SAU,528207466666.667,22028.3901426586,23978487,6.08720360847519,58828.7075224838,1410623398554.68,5.0395150823517,1980778000000,115464.416082633,20.2028697814697,8.56567729417753
2010,YR2010,Turkiye,TUR,776967266305.53,10622.7020439723,73142150,6.79208232586733,17343.6771298998,1268553834186.7,8.42710432276191,1167664479200,14918.6281849795,14.8745579054521,2.27171421902952
2010,YR2010,United Kingdom,GBR,2485482596184.71,39598.957119545,62766365,1.43505257035225,36487.6718531875,2290198529537.39,2.23331508815346,1608553000000,31428.2668113726,21.529660508544,2.56799960467203
2010,YR2010,United States,USA,15048971000000,48642.6312088213,309378227,1.82992369865936,48642.6312088213,15048971000000,2.69519258234851,15048971000000,54269.3329223844,16.6858385201221,4.90402300595835
2010,YR2010,Brunei Darussalam,BRN,13707121031.2552,34937.5555174068,392332,0.808737710775503,79542.6778763874,31207137896.5988,2.74136433514822,18689782890.2058,47637.6713859838,22.1519357625583,2.85048790060089
2010,YR2010,Israel,ISR,239679036634.372,31439.0887027614,7623600,3.62399103334153,29455.8218132531,224559403175.516,5.53434033902194,896153926000,134877.584474526,21.8954473452812,5.93634502858407
2010,YR2010,Kuwait,KWT,115416245238.478,39212.2522190461,2943372,-7.27588260562241,75184.0866636559,221294735531.378,-2.37054804702014,33079103799.0645,11238.5059717441,17.1304520050518,3.7561481418781
2010,YR2010,Monaco,MCO,5367561569.59548,161853.920622244,33163,-0.393849531303786,..,..,2.06521962654098,4048800000,136192.760003618,..,..
2010,YR2010,Oman,OMN,64993498049.4148,23570.1798147325,2757446,-0.232906393185388,55667.4687778644,153500039111.647,2.47199856582773,24990000000,9535.5267156637,16.374549819928,5.64885516492993
2010,YR2010,Qatar,QAT,125122306346.154,77387.3267885308,1616832,19.0058466072559,151646.217415364,245186456996.118,19.5923315337859,455445195100,290393.570018406,13.9838998600075,1.47390908321736
2010,YR2010,Singapore,SGP,239807980591.24,47236.683084953,5076732,12.5085215498552,75400.5557984177,382788414439.613,14.5197497108994,326980100000,67025.5392642353,9.691568385966,3.38139843984389
2010,YR2010,United Arab Emirates,ARE,300189052688.904,43696.6712590463,6869838,-0.804617484632033,83670.9093739164,574805592711.487,1.60285004671354,1102444296000,160476.025198847,9.6834896681256,6.03859220826788
2010,YR2010,Afghanistan,AFG,15856668555.8336,560.621505463146,28284089,11.0550305527288,1765.53802830615,49936634725.4957,14.3624414710737,726231122700,36582.1125191623,..,1.94583569418812
2010,YR2010,Arab World,ARB,2155345288815.19,5928.30535993301,363568534,2.76677365953439,14648.8279481093,5325852901912.34,4.8377172153874,..,..,15.5807303961023,4.97055503694903
2010,YR2010,Bangladesh,BGD,115275540051.262,757.385280361508,152201981,4.65046297355514,2833.69544368864,431294060080.085,5.57178818533122,7975387000000,93713.5270729492,5.07532583559895,1.18438401700177
2010,YR2010,East Asia & Pacific,EAS,17186395967351.8,7760.44827813549,2214613815,6.86651758671388,11852.4102329593,26248511442959.1,7.61803687291491,..,..,16.0599148325354,1.48410617282509
2010,YR2010,"Egypt, Arab Rep.",EGY,218983666061.706,2455.08194645282,89196072,3.14977851168294,8837.76450033703,788293878691.105,5.1472348575531,1206600000000,55883.4649642863,11.163600198906,1.95296705174529
2010,YR2010,Europe & Central Asia,ECS,21102997002120.9,23684.8766148124,890990371,2.2513095526689,26191.4425403139,23336323106019.4,2.62556206990143,..,..,20.5720184545016,1.77274723641419
2010,YR2010,"Iran, Islamic Rep.",IRN,487069570461.36,6291.19443652344,77420842,4.48194623857125,17865.9413811134,1383196224848.44,5.79793829590261,5.035812289E+15,169862019.842151,10.8045401697855,2.7865480606164
2010,YR2010,Iraq,IRQ,138516722649.573,4461.75196161555,31045366,3.01924651269078,12186.1929623841,378324820663.84,6.40256484471193,162064565500000,4273972.11551637,18.9188448476728,2.70935227972459
2010,YR2010,Jordan,JOR,27133804225.3521,3718.46571622945,7297043,0.137449407888951,9416.64386806071,68713655220.9253,2.31483422063046,19265001000,3326.00950823505,19.247338736188,5.74149982771799
2010,YR2010,Lebanon,LBN,38443907042.1227,7625.81051551165,5041288,6.92562408092621,14703.6153215084,74125159476.9364,7.97513555844932,57954189866000,11495909.3521338,12.2198707797911,4.12655312377024
2010,YR2010,Malaysia,MYS,255017638455.59,8899.34505544675,28655776,5.43424070379723,20193.4092945433,578657813420.75,7.42484738326097,821434000000,31708.4039113092,12.581169028796,1.49021010582112
2010,YR2010,"Middle East, North Africa, Afghanistan & Pakistan",MEA,3035569587215.87,4858.24316666732,624828664,2.67701833169689,12094.3916597467,7556922582652.28,4.80731428595524,..,..,15.1581168032873,4.53014670578604
2010,YR2010,Pakistan,PAK,196709621849.586,987.304571124485,199239047,-0.97547471765489,3785.70113530595,754259486425.175,1.50171752152883,16507053350300,128644.428049287,10.9187548907423,3.04189326480607
2010,YR2010,Philippines,PHL,208368893151.144,2162.91375885614,96337125,5.15869430276467,5489.23543457601,528817160215.178,7.33449996034538,9399450758100,116090.873549527,9.72039517748043,1.17013220060251
2010,YR2010,South Africa,ZAF,417363822801.713,7973.47195771517,52344051,1.82804672464107,12637.2912226018,661487016257.719,3.03973288127956,3055613201500,75916.9672079832,17.996063602882,1.00348106887351
2010,YR2010,South Asia,SAS,1869826933837.31,1294.02742131622,1444967010,6.72705848207893,4084.55807169787,5902051664032.64,8.19440351772806,..,..,10.6492481595116,2.76511796887055
2010,YR2010,Sri Lanka,LKA,58636161081.712,2808.36779237408,20879089,7.38142864786508,8233.6266381136,171910623369.945,8.01596737040464,6629667061900,406863.720505239,..,2.70074784039336
